RecipeID,TagID
537716,0
537716,1
537716,2
537716,3
537716,4
537716,5
537716,6
537716,7
537716,8
537716,9
537671,1
537671,2
537671,4
537671,10
537671,11
537671,12
537671,13
537671,14
537671,15
537671,16
537671,17
537671,18
537671,19
537671,20
537671,21
537543,0
537543,1
537543,2
537543,22
537543,4
537543,10
537543,12
537543,23
537543,13
537543,15
537543,24
537543,16
537485,0
537485,1
537485,2
537485,4
537485,11
537485,25
537485,26
537485,12
537485,27
537485,20
537459,28
537459,1
537459,2
537459,4
537459,29
537459,25
537459,30
537459,27
537459,31
537459,20
537458,0
537458,1
537458,2
537458,4
537458,32
537458,33
537458,34
537458,35
537458,36
537458,37
537429,1
537429,3
537429,4
537429,10
537429,38
537429,39
537429,40
537429,41
537429,9
537429,42
537429,21
537351,1
537351,2
537351,3
537351,4
537351,43
537351,44
537351,6
537351,7
537351,45
537351,9
537351,46
537351,21
537331,1
537331,2
537331,3
537331,4
537331,5
537331,6
537331,7
537331,9
537331,21
537323,0
537323,1
537323,2
537323,3
537323,4
537323,11
537323,47
537323,43
537323,44
537323,48
537323,49
537323,50
537323,20
537319,0
537319,1
537319,2
537319,3
537319,4
537319,51
537319,52
537319,53
537319,34
537319,35
537319,36
537319,54
537319,55
537241,1
537241,2
537241,4
537241,11
537241,47
537241,56
537241,20
537241,21
537242,1
537242,2
537242,4
537242,11
537242,32
537242,12
537242,57
537242,34
537242,35
537242,36
537242,20
537242,21
537175,0
537175,1
537175,2
537175,4
537175,58
537175,47
537175,49
537175,34
537089,1
537089,2
537089,4
537089,10
537089,11
537089,32
537089,12
537089,59
537089,60
537089,13
537089,61
537089,34
537089,62
537089,17
537089,36
537089,18
537089,19
537089,20
537076,28
537076,1
537076,3
537076,4
537076,63
537076,64
537076,65
537071,0
537071,1
537071,2
537071,4
537071,66
537071,34
537071,35
537071,67
537071,68
537071,36
537073,1
537073,2
537073,3
537073,4
537073,44
537073,6
537073,69
537073,70
537073,9
537073,21
537039,1
537039,2
537039,3
537039,4
537039,10
537039,44
537039,6
537039,38
537039,60
537039,13
537039,70
537039,71
537039,17
537039,9
537039,21
537039,72
537037,0
537037,1
537037,2
537037,3
537037,4
537037,10
537037,73
537037,74
537037,38
537037,13
537037,75
537037,62
536990,2
536990,3
536990,4
536990,44
536990,6
536990,7
536990,39
536990,34
536990,67
536990,68
536990,36
536990,9
536990,42
536977,1
536977,2
536977,3
536977,4
536977,76
536977,33
536977,74
536977,75
536977,21
536973,0
536973,1
536973,2
536973,3
536973,22
536973,4
536973,44
536973,6
536973,77
536973,7
536973,34
536973,68
536973,36
536973,9
536973,78
536930,0
536930,1
536930,2
536930,3
536930,4
536930,44
536930,6
536930,79
536930,7
536930,9
536859,80
536859,1
536859,2
536859,3
536859,4
536859,32
536859,58
536859,81
536859,48
536859,27
536859,82
536859,34
536859,35
536859,83
536859,84
536859,85
536859,36
536859,42
536859,86
536836,2
536836,4
536836,10
536836,11
536836,12
536836,87
536836,60
536836,14
536836,34
536836,17
536836,88
536836,42
536836,20
536836,89
536836,86
536834,80
536834,1
536834,2
536834,3
536834,22
536834,4
536834,10
536834,44
536834,6
536834,90
536834,7
536834,91
536834,9
536843,0
536843,1
536843,2
536843,3
536843,4
536843,44
536843,92
536843,6
536843,48
536843,87
536843,27
536843,70
536843,9
536843,42
536845,80
536845,1
536845,2
536845,3
536845,4
536845,44
536845,63
536845,87
536845,27
536845,64
536845,65
536845,42
536747,1
536747,2
536747,4
536747,11
536747,12
536747,15
536747,20
536747,21
536734,80
536734,1
536734,2
536734,22
536734,4
536734,93
536734,32
536734,58
536734,25
536734,33
536734,94
536734,95
536734,96
536734,27
536734,34
536734,35
536734,83
536734,67
536734,68
536734,85
536734,36
536726,80
536726,1
536726,2
536726,4
536726,58
536726,44
536726,34
536728,28
536728,1
536728,22
536728,4
536728,25
536728,97
536728,27
536728,34
536728,98
536728,99
536728,100
536728,101
536729,28
536729,1
536729,2
536729,22
536729,4
536729,93
536729,32
536729,58
536729,25
536729,102
536729,94
536729,96
536729,27
536729,82
536729,103
536729,34
536729,35
536729,83
536729,84
536729,67
536729,68
536729,85
536729,36
536696,0
536696,1
536696,2
536696,4
536696,44
536700,0
536700,1
536700,2
536700,4
536700,10
536700,29
536700,5
536700,44
536700,38
536700,104
536700,105
536700,18
536700,20
536700,89
536688,80
536688,1
536688,2
536688,4
536688,10
536688,29
536688,58
536688,51
536688,12
536688,27
536688,106
536688,57
536688,34
536688,35
536688,107
536688,108
536688,36
536688,18
536688,19
536688,20
536688,55
536679,0
536679,1
536679,2
536679,22
536679,4
536679,93
536679,12
536679,94
536679,95
536679,96
536678,0
536678,1
536678,2
536678,4
536678,43
536678,44
536678,33
536678,34
536678,98
536678,100
536662,3
536662,109
536662,110
536662,34
536662,68
536662,36
536662,9
536643,0
536643,1
536643,22
536643,4
536643,111
536643,112
536610,0
536610,1
536610,2
536610,4
536610,12
536610,27
536547,0
536547,1
536547,3
536547,22
536547,4
536547,48
536547,90
536547,113
536547,114
536547,34
536547,83
536547,85
536547,36
536547,115
536575,0
536575,1
536575,2
536575,3
536575,4
536575,43
536575,44
536575,54
536564,0
536564,1
536564,2
536564,4
536564,73
536564,5
536564,34
536568,1
536568,2
536568,3
536568,4
536568,11
536568,47
536568,116
536568,117
536568,118
536568,119
536568,20
536568,21
536568,86
536583,0
536583,1
536583,2
536583,4
536583,51
536603,1
536603,22
536603,4
536603,120
536603,121
536603,21
536524,3
536524,122
536524,110
536524,9
536524,123
536524,54
536501,1
536501,2
536501,4
536501,44
536501,66
536501,69
536501,39
536501,34
536501,42
536501,21
536506,1
536506,2
536506,4
536506,11
536506,12
536506,15
536506,20
536506,21
536474,80
536474,1
536474,3
536474,4
536474,63
536474,124
536474,125
536474,126
536469,80
536469,1
536469,2
536469,4
536469,12
536469,15
536465,0
536465,1
536465,2
536465,3
536465,4
536465,44
536465,63
536465,79
536465,64
536465,65
536475,127
536475,0
536475,1
536475,2
536475,3
536475,4
536475,51
536475,74
536475,110
536475,128
536475,9
536476,0
536476,1
536476,3
536476,4
536476,6
536476,7
536476,9
536473,80
536473,1
536473,2
536473,3
536473,4
536473,12
536473,116
536473,118
536473,129
536464,80
536464,1
536464,2
536464,3
536464,4
536464,47
536464,63
536464,64
536464,65
536436,0
536436,1
536436,2
536436,3
536436,4
536436,44
536436,122
536436,6
536436,7
536436,9
536436,54
536446,0
536446,1
536446,3
536446,22
536446,4
536446,10
536446,130
536446,131
536446,27
536446,132
536446,104
536446,17
536446,9
536446,18
536446,133
536446,101
536446,134
536443,0
536443,1
536443,2
536443,3
536443,4
536443,10
536443,32
536443,102
536443,33
536443,116
536443,27
536443,132
536443,34
536443,35
536443,83
536443,17
536443,84
536443,67
536443,68
536443,85
536443,36
536443,135
536443,133
536443,101
536443,134
536455,1
536455,3
536455,4
536455,122
536455,34
536455,54
536455,21
536411,0
536411,1
536411,2
536411,4
536411,11
536411,12
536411,20
536401,80
536401,1
536401,2
536401,22
536401,4
536401,5
536401,27
536401,120
536401,136
536401,8
536401,101
536382,80
536382,1
536382,2
536382,22
536382,4
536382,32
536382,58
536382,102
536382,27
536382,120
536382,34
536382,35
536382,83
536382,136
536382,84
536382,67
536382,68
536382,85
536382,36
536382,101
536384,0
536384,1
536384,2
536384,4
536384,47
536383,0
536383,1
536383,2
536383,3
536383,4
536383,51
536383,74
536383,92
536383,48
536383,75
536383,128
536363,1
536363,2
536363,3
536363,4
536363,44
536363,6
536363,7
536363,9
536363,21
536360,1
536360,2
536360,4
536360,44
536360,21
536345,0
536345,1
536345,2
536345,4
536345,29
536345,5
536345,102
536345,20
536346,1
536346,2
536346,4
536346,10
536346,73
536346,51
536346,105
536346,21
536322,0
536322,1
536322,2
536322,22
536322,4
536322,93
536322,11
536322,81
536322,94
536322,27
536322,137
536322,138
536322,20
536322,101
536318,0
536318,1
536318,2
536318,3
536318,4
536318,44
536318,130
536318,69
536318,9
536305,0
536305,1
536305,2
536305,4
536305,12
536305,139
536290,140
536290,80
536290,1
536290,2
536290,22
536290,4
536290,10
536290,93
536290,29
536290,5
536290,44
536290,111
536290,20
536288,0
536288,1
536288,2
536288,4
536288,10
536288,30
536288,12
536288,38
536288,105
536237,1
536237,2
536237,4
536237,32
536237,12
536237,15
536237,34
536237,35
536237,36
536237,21
536226,2
536226,66
536226,141
536223,140
536223,80
536223,1
536223,2
536223,4
536223,10
536223,29
536223,12
536223,52
536223,27
536223,142
536223,13
536223,114
536223,57
536223,34
536223,143
536223,144
536223,20
536223,89
536223,86
536229,1
536229,2
536229,4
536229,43
536229,44
536229,21
536229,145
536221,0
536221,1
536221,3
536221,22
536221,4
536221,93
536221,29
536221,6
536221,94
536221,7
536221,146
536221,9
536221,147
536221,20
536270,0
536270,1
536270,2
536270,4
536270,51
536270,12
536212,2
536212,3
536212,4
536212,33
536212,92
536212,48
536212,39
536212,42
536124,1
536124,2
536124,4
536124,58
536124,51
536124,44
536124,34
536124,84
536124,67
536124,36
536124,21
536119,1
536119,2
536119,4
536119,32
536119,102
536119,33
536119,34
536119,36
536119,21
536098,1
536098,3
536098,4
536098,29
536098,25
536098,109
536098,130
536098,27
536098,34
536098,35
536098,99
536098,68
536098,100
536098,36
536098,9
536098,148
536098,20
536098,21
536066,0
